,Unnamed: 0,Player,College,Conf,G,MP,MP_G,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
40,40,Caleb Swanigan,Purdue,Big Ten,69,2014,29.2,5.1,10.2,4.2,7.9,0.9,2.3,3.3,4.4,2.2,8.2,10.4,2.4,0.4,0.5,3,2.5,14.4
41,41,Isaac Copeland,Nebraska,Big Ten,53,1626,30.7,5,10.1,3.7,6.7,1.2,3.4,2.1,3,1.6,4.2,5.8,1.1,0.9,1,1.2,1.8,13.3
42,42,Anthony Cowan,Maryland,Big Ten,99,3319,33.5,4.1,10.1,2.6,5.7,1.5,4.4,4.1,5.1,0.5,3.5,4,4.4,1.2,0.2,2.6,2.1,13.9
43,43,Marc Loving,Ohio State,Big Ten,67,2275,34,4.1,9.9,2.4,5.1,1.7,4.7,3.3,4.4,1.1,3.9,5,1.7,0.6,0.5,2.6,1.9,13.2
44,44,Jordan Murphy,Minnesota,Big Ten,133,3895,29.3,4.9,9.9,4.7,8.9,0.2,1,3.5,5.2,3.1,6.7,9.8,1.4,0.9,1,2.1,2.9,13.5
45,45,Tyler Cook,Iowa,Big Ten,93,2601,28,5.3,9.8,5.3,9.6,0,0.2,3.5,5.5,2.1,4.5,6.7,1.8,0.7,0.5,2.6,2.5,14.1
46,46,Bryn Forbes,Michigan State,Big Ten,35,982,28.1,4.7,9.8,1.5,3.1,3.2,6.7,1.8,2.1,0.3,1.7,2.1,1.5,0.4,0,0.9,1.5,14.4
47,47,Derrick Walton,Michigan,Big Ten,71,2431,34.2,4,9.8,1.8,4.3,2.3,5.6,3.4,4,0.5,4.6,5.1,4.7,1.4,0.1,1.9,1.8,13.7
48,48,Vince Edwards,Purdue,Big Ten,105,3068,29.2,4.6,9.7,3.2,6.3,1.4,3.4,2.3,2.8,1.9,4,5.9,3,0.5,0.5,1.8,1.9,12.8
49,49,Robert Johnson,Indiana,Big Ten,95,2806,29.5,4.2,9.6,2.3,4.6,2,5.1,1.3,1.8,0.3,3.8,4.1,2.8,0.8,0.1,2.2,2,11.7
50,50,Jae'Sean Tate,Ohio State,Big Ten,94,2840,30.2,5.2,9.6,4.8,8.4,0.4,1.2,2.1,3.7,1.7,4.6,6.3,2.2,1.1,0.5,2,3.1,12.8
51,51,Giorgi Bezhanishvili,Illinois,Big Ten,33,862,26.1,5.1,9.5,5,8.5,0.2,0.9,2.2,3.3,2.3,2.9,5.2,0.8,0.7,0.8,2.4,3.8,12.5
52,52,Ryan Taylor,Northwestern,Big Ten,31,829,26.7,3.3,9.4,1.4,3.6,1.9,5.8,1.2,1.3,0.3,1.5,1.9,1.1,0.7,0.3,0.7,2.4,9.8
53,53,DeShawn Freeman,Rutgers,Big Ten,74,1945,26.3,4.2,9.3,4,8.6,0.1,0.7,2.7,4.1,2.6,4.7,7.3,0.9,1.3,0.8,1.9,2.5,11.2
54,54,Rasir Bolton,Penn State,Big Ten,32,861,26.9,3.5,9.2,1.9,4.7,1.6,4.5,2.9,3.3,0.6,1.4,2,1.5,0.6,0.1,2.6,1.9,11.6
55,55,Carlos Morris,Minnesota,Big Ten,24,613,25.5,3.6,9.2,2.5,6.3,1,3,1.6,2.4,0.5,3,3.5,1.4,0.8,0.3,1.8,1.3,9.8
56,56,JaQuan Lyle,Ohio State,Big Ten,66,1948,29.5,3.8,9.1,2.9,6,1,3.1,2.6,3.6,0.5,3.5,4,4.4,1,0.2,2.7,1.7,11.3
57,57,Troy Williams,Indiana,Big Ten,35,916,26.2,4.7,9.1,3.9,6.9,0.7,2.1,3.2,4.6,1.4,4.4,5.8,2,1.1,0.8,2.7,2.2,13.3
58,58,Cassius Winston,Michigan State,Big Ten,109,3017,27.7,4.2,9.1,2.5,5.1,1.7,4,2.7,3.3,0.2,2.5,2.7,6.6,0.8,0.1,2.6,2,12.9
59,59,Payton Banks,Penn State,Big Ten,64,1775,27.7,3.3,9,1.6,3.9,1.8,5.1,1.5,1.9,0.8,2.5,3.3,1.1,0.6,0.2,1.2,2.1,9.9
60,60,Jordan Bohannon,Iowa,Big Ten,102,3140,30.8,3.6,9,1,2.7,2.6,6.3,2.2,2.5,0.2,2.1,2.3,4.6,0.7,0,2,1.7,12
61,61,Brad Davison,Wisconsin,Big Ten,67,2124,31.7,3.6,9,1.9,4.3,1.7,4.7,2.5,3,0.3,2.5,2.8,2.2,1.1,0,1.4,2.8,11.3
62,62,Kevin Huerter,Maryland,Big Ten,65,2072,31.9,4.2,9,2.1,3.6,2.1,5.4,1.5,2,0.8,4.2,5,3,0.8,0.7,1.9,2.1,12
63,63,Jalen Smith,Maryland,Big Ten,33,880,26.7,4.4,8.9,3.8,6.8,0.6,2.2,2.3,3.5,2.7,4.1,6.8,0.9,0.4,1.2,1.2,2,11.7
64,64,Mike Williams,Rutgers,Big Ten,90,2315,25.7,3.4,8.9,2.2,4.8,1.2,4.1,2,2.6,1.6,2.6,4.2,1.1,0.9,0.4,1.2,2.1,10.1
65,65,Bishop Daniels,Rutgers,Big Ten,32,869,27.2,3.5,8.8,3.1,7.4,0.4,1.3,1.4,2.1,0.6,3.2,3.8,3,1.1,0.4,2.7,1.8,8.8
66,66,Leron Black,Illinois,Big Ten,69,1516,22,4.4,8.7,3.9,7.6,0.5,1.2,1.7,2.2,1.7,3.9,5.6,0.6,0.4,0.2,1.4,3.1,11
67,67,Luka Garza,Iowa,Big Ten,65,1474,22.7,4.6,8.6,4.1,6.7,0.6,1.8,2.7,3.7,2.1,3.3,5.5,1,0.3,0.8,1.2,2.4,12.6
68,68,Robert Carter,Maryland,Big Ten,36,950,26.4,4.7,8.5,4,6.4,0.7,2.2,2.1,2.9,1.7,5.3,6.9,1.9,0.8,1.3,2.2,2.8,12.3
69,69,Alex Olah,Northwestern,Big Ten,26,623,24,4.5,8.5,4.2,7.5,0.3,1,2.2,3.2,1.4,4.2,5.6,1.3,0.2,1.4,1.2,2.2,11.4
70,70,Justin Jackson,Maryland,Big Ten,44,1240,28.2,3.5,8.4,2.2,5.1,1.3,3.3,2.1,2.8,1.9,4.6,6.5,1.2,0.9,0.8,2,2,10.3
71,71,Joshua Langford,Michigan State,Big Ten,83,2053,24.7,3.8,8.4,2.5,5.2,1.3,3.3,1.3,1.6,0.7,2.1,2.8,1.5,0.5,0.1,1.5,2.2,10.2
72,72,Akeem Springs,Minnesota,Big Ten,32,768,24,3.2,8.4,1.1,2.9,2.1,5.5,1,1.5,0.5,2.5,3,1.3,0.6,0.2,0.9,1.1,9.5
73,73,Diamond Stone,Maryland,Big Ten,35,807,23.1,4.8,8.4,4.8,8.4,0,0,2.9,3.8,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5
74,74,C.J. Jackson,Ohio State,Big Ten,100,2693,26.9,3.4,8.3,1.9,4.1,1.5,4.2,1.9,2.5,0.5,3,3.5,3.4,1,0.1,1.9,1.9,10.2
75,75,Montez Mathis,Rutgers,Big Ten,31,710,22.9,3.1,8.2,2.6,6.1,0.5,2.2,1.8,3.2,0.7,2.2,2.9,1.1,0.7,0.2,1.3,1.8,8.5
76,76,Rasheed Sulaimon,Maryland,Big Ten,36,1184,32.9,3.8,8.2,2.2,4.5,1.6,3.8,2.1,2.8,0.3,3.3,3.5,3.5,1.2,0.1,1.8,1.4,11.3
77,77,Muhammad-Ali Abdur-Rahkman,Michigan,Big Ten,115,3597,31.3,3.6,8.1,2.3,4.7,1.3,3.4,1.8,2.4,0.7,2.5,3.1,2.3,0.8,0.2,0.8,1.8,10.3
78,78,Joey King,Minnesota,Big Ten,29,854,29.4,3.4,8.1,1.4,3,2,5.1,2.7,3,0.9,2.9,3.8,1.3,0.5,0.3,0.9,2.9,11.6
79,79,Nick Ward,Michigan State,Big Ten,104,2063,19.8,4.9,8,4.8,8,0,0,3.3,5.3,2.4,4.1,6.5,0.5,0.3,1.4,1.8,2.5,13.1
80,80,Kaleb Wesson,Ohio State,Big Ten,65,1512,23.3,4.2,8,3.8,6.7,0.5,1.4,3.5,4.8,2.4,3.6,5.9,1.5,0.8,0.6,1.6,3,12.4
81,81,Gabe Kalscheur,Minnesota,Big Ten,36,1106,30.7,3.3,7.9,1.1,2.6,2.1,5.2,1.3,1.8,0.6,1.4,2,1.1,0.8,0.3,1,2.7,10
82,82,Daniel Oturu,Minnesota,Big Ten,35,834,23.8,4.3,7.9,4.3,7.8,0,0.1,2.1,3.3,2.5,4.5,7,0.5,0.5,1.3,1.5,2.7,10.8
83,83,Jalen Coleman-Lands,Illinois,Big Ten,69,1742,25.2,3,7.8,0.7,2.1,2.3,5.7,0.8,1,0.2,1.9,2.1,0.9,0.7,0.1,1,2.1,9.1
84,84,Eron Harris,Michigan State,Big Ten,62,1350,21.8,3.4,7.8,2,4.4,1.4,3.4,1.8,2.3,0.6,2.1,2.8,1.9,0.3,0.1,1.6,1.9,9.9
85,85,Jake Layman,Maryland,Big Ten,36,1112,30.9,3.9,7.8,2.3,3.8,1.6,4,2.2,2.6,1.1,4.2,5.3,1.1,1.1,1,1.7,1.9,11.6
86,86,Isaiah Moss,Iowa,Big Ten,102,2223,21.8,3.2,7.7,1.9,4.6,1.2,3.2,1.3,1.6,0.5,1.8,2.2,1.5,0.7,0.3,1.2,1.4,8.9
87,87,D'Mitrik Trice,Wisconsin,Big Ten,81,2095,25.9,2.9,7.7,1.4,3.7,1.6,4,1.1,1.5,0.2,2.1,2.3,2.2,0.7,0.1,1.2,1.6,8.6
88,88,Bruno Fernando,Maryland,Big Ten,64,1692,26.4,4.5,7.6,4.5,7.4,0.1,0.2,2.9,3.8,2.3,6.5,8.7,1.4,0.5,1.6,2.3,2.8,12
89,89,Dupree McBrayer,Minnesota,Big Ten,123,3451,28.1,2.9,7.6,1.9,4.4,1,3.2,2.1,3.1,0.2,1.9,2.1,2.7,1,0.2,1.3,1.7,8.9
90,90,Josh Reaves,Penn State,Big Ten,121,3482,28.8,3.4,7.6,2.5,4.9,0.9,2.8,1.3,1.9,1.5,3,4.5,2.6,2.1,0.8,1.8,2.9,8.9
91,91,Thomas Bryant,Indiana,Big Ten,69,1745,25.3,4.4,7.5,4,6.4,0.4,1.1,3,4.1,2.1,4.1,6.2,1.2,0.6,1.2,2,2.9,12.2
92,92,Anthony Clemmons,Iowa,Big Ten,33,976,29.6,3.3,7.5,2.5,4.9,0.8,2.6,1.6,2.6,0.4,2.2,2.6,3.7,1,0.2,1.5,2.2,8.9
93,93,Matt Costello,Michigan State,Big Ten,35,802,22.9,4.2,7.5,4.2,7.3,0.1,0.2,2.2,2.9,2.9,5.3,8.2,1.3,0.7,1.2,1.1,2.1,10.7
94,94,Isaac Haas,Purdue,Big Ten,105,2000,19,4.5,7.5,4.5,7.5,0,0,3.4,4.7,1.6,3.2,4.8,0.6,0.2,0.9,1.7,2.1,12.4
95,95,A.J. Turner,Northwestern,Big Ten,32,957,29.9,2.9,7.5,1.7,3.8,1.2,3.7,1.7,2.1,0.2,2.2,2.3,2.8,0.6,0.3,1.9,2,8.7
96,96,Kam Williams,Ohio State,Big Ten,98,2480,25.3,3.3,7.5,1.8,4,1.5,3.5,0.8,0.9,0.3,1.7,2,0.9,0.7,0.1,0.7,1.2,8.9
97,97,Myles Dread,Penn State,Big Ten,32,926,28.9,2.8,7.4,0.7,1.6,2.1,5.9,0.5,0.9,0.6,2.3,2.8,1.3,0.6,0.2,0.8,2.1,8.3
