Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
206,2003,NBA,1,6,LAC,Chris Kaman,21.064,C,us,Central Michigan University,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,0.489,0.49,0.042,0.743,24.6,0.06
936,2002,NBA,1,27,LAL,Chris Jefferies,22.139,G-F,us,"California State University, Fresno",2003,2004,72,12,3.9,1.2,0.4,0.3,0.3,0.383,0.394,0.365,0.667,-0.5,-0.03
199,2004,NBA,2,38,CHI,Chris Duhon,21.303,G,us,Duke University,2005,2013,606,25.6,6.5,2.3,4.4,0.8,0.1,0.393,0.426,0.363,0.784,25,0.077
467,2008,NBA,2,40,NJN,Chris Douglas-Roberts,21.175,G,us,University of Memphis,2009,2015,222,19.7,7.1,2.1,1.1,0.6,0.2,0.439,0.465,0.329,0.831,5.4,0.059
967,2000,NBA,2,41,SAS,Chris Carrawell,,,,Duke University,,,,,,,,,,,,,,,
10,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,106,0.159
1057,2009,NBA,2,59,LAL,Chinemelu Elonu,22.112,C-F,ng,Texas A&M University,,,,,,,,,,,,,,,
790,2016,NBA,2,37,HOU,Chinanu Onuaku,19.239,F-C,us,University of Louisville,2017,2018,6,12.3,3,2.3,0.7,0.5,0.2,0.583,0.583,,1,0.1,0.043
926,2018,NBA,2,49,SAS,Chimezie Metu,21.096,F,us,University of Southern California,2019,2019,29,5,1.8,1.2,0.4,0.2,0.1,0.328,0.339,0,0.765,-0.3,-0.099
862,2006,NBA,2,51,LAL,Cheikh Samb,21.254,C,sn,,2008,2009,22,5.2,1,1.4,0,0.2,0.5,0.25,0.273,0,0.444,-0.1,-0.056
481,2016,NBA,2,33,LAC,Cheick Diallo,19.288,F,ml,University of Kansas,2017,2019,133,12.6,5.5,4.6,0.4,0.3,0.5,0.585,0.588,0.25,0.747,5,0.142
317,2009,NBA,2,44,DET,Chase Budinger,21.039,F,us,University of Arizona,2010,2016,407,19.7,7.9,3,1.2,0.5,0.2,0.43,0.486,0.352,0.797,13.9,0.083
220,2005,NBA,1,7,TOR,Charlie Villanueva,20.313,F,us,University of Connecticut,2006,2016,656,20.7,10.4,4.6,0.8,0.5,0.5,0.435,0.484,0.341,0.772,22.6,0.08
702,2011,NBA,2,44,GSW,Charles Jenkins,22.12,G,us,Hofstra University,2012,2013,110,12.1,3.7,0.9,1.9,0.4,0.1,0.434,0.449,0.182,0.754,0.5,0.017
127,2005,NBA,1,8,NYK,Channing Frye,22.048,C-F,us,University of Arizona,2006,2019,890,22.2,8.7,4.5,1,0.5,0.6,0.44,0.477,0.388,0.822,38.9,0.094
172,2011,NBA,2,38,HOU,Chandler Parsons,22.246,F,us,University of Florida,2012,2019,435,30.3,12.8,4.5,2.8,0.9,0.3,0.462,0.522,0.373,0.713,29,0.106
690,2018,NBA,1,22,CHI,Chandler Hutchison,22.061,G,us,Boise State University,2019,2019,44,20.3,5.2,4.2,0.8,0.5,0.1,0.459,0.516,0.28,0.605,0.6,0.03
1020,2005,NBA,2,59,ATL,Cenk Akyol,18.078,G,tr,,,,,,,,,,,,,,,,
777,2006,NBA,1,15,NOK,Cedric Simmons,20.181,F,us,North Carolina State University,2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,0.409,0.409,,0.39,0.1,0.005
